GEN,GAME_SPEED,POINTS,SURVIVAL_THRESHOLD,POPULATION,ACT_FUNC
46,36,1662,0.6,151,sigmoid
28,38,1896,0.1,150,sigmoid
47,35,1570,0.6,151,sigmoid
48,37,1701,0.6,151,sigmoid
29,44,2423,0.1,150,sigmoid
49,39,1932,0.6,151,sigmoid
30,45,2537,0.1,150,sigmoid
50,37,1730,0.6,151,sigmoid
31,39,1986,0.1,150,sigmoid
32,45,2562,0.1,150,sigmoid
33,47,2767,0.1,150,sigmoid
34,41,2108,0.1,150,sigmoid
35,43,2336,0.1,150,sigmoid
36,45,2577,0.1,150,sigmoid
37,45,2585,0.1,150,sigmoid
38,48,2820,0.1,150,sigmoid
39,52,3209,0.1,150,sigmoid
40,48,2867,0.1,150,sigmoid
41,48,2811,0.1,150,sigmoid
1,22,273,0.1,150,relu
2,25,523,0.1,150,relu
42,43,2385,0.1,150,sigmoid
3,40,2010,0.1,150,relu
43,43,2396,0.1,150,sigmoid
4,43,2316,0.1,150,relu
44,46,2687,0.1,150,sigmoid
5,41,2166,0.1,150,relu
45,45,2536,0.1,150,sigmoid
6,45,2511,0.1,150,relu
7,39,1923,0.1,150,relu
46,45,2528,0.1,150,sigmoid
8,41,2194,0.1,150,relu
47,43,2313,0.1,150,sigmoid
9,39,1926,0.1,150,relu
48,43,2323,0.1,150,sigmoid
10,41,2195,0.1,150,relu
49,43,2363,0.1,150,sigmoid
11,39,1927,0.1,150,relu
50,45,2558,0.1,150,sigmoid
12,39,1927,0.1,150,relu
13,39,1954,0.1,150,relu
14,39,1992,0.1,150,relu
1,21,110,0.1,150,tanh
2,32,1289,0.1,150,tanh
15,45,2587,0.1,150,relu
3,31,1127,0.1,150,tanh
4,39,1957,0.1,150,tanh
16,41,2145,0.1,150,relu
5,41,2195,0.1,150,tanh
17,43,2315,0.1,150,relu
18,35,1506,0.1,150,relu
6,43,2367,0.1,150,tanh
19,41,2139,0.1,150,relu
7,39,1931,0.1,150,tanh
20,39,1957,0.1,150,relu
8,43,2393,0.1,150,tanh
21,39,1925,0.1,150,relu
9,40,2047,0.1,150,tanh
22,39,1990,0.1,150,relu
10,42,2265,0.1,150,tanh
23,39,1950,0.1,150,relu
11,39,1928,0.1,150,tanh
24,41,2191,0.1,150,relu
12,45,2527,0.1,150,tanh
25,46,2634,0.1,150,relu
13,36,1664,0.1,150,tanh
26,49,2918,0.1,150,relu
14,42,2225,0.1,150,tanh
27,41,2167,0.1,150,relu
15,47,2742,0.1,150,tanh
28,42,2255,0.1,150,relu
16,45,2506,0.1,150,tanh
29,35,1558,0.1,150,relu
17,39,1981,0.1,150,tanh
30,36,1671,0.1,150,relu
18,40,2049,0.1,150,tanh
31,41,2140,0.1,150,relu
32,36,1604,0.1,150,relu
19,45,2584,0.1,150,tanh
33,40,2025,0.1,150,relu
20,40,2048,0.1,150,tanh
34,38,1801,0.1,150,relu
21,41,2107,0.1,150,tanh
35,41,2138,0.1,150,relu
22,45,2585,0.1,150,tanh
36,40,2009,0.1,150,relu
23,41,2139,0.1,150,tanh
37,43,2394,0.1,150,relu
24,39,1984,0.1,150,tanh
38,41,2166,0.1,150,relu
25,47,2716,0.1,150,tanh
39,41,2164,0.1,150,relu
26,43,2331,0.1,150,tanh
40,45,2559,0.1,150,relu
27,41,2195,0.1,150,tanh
41,43,2339,0.1,150,relu
28,37,1734,0.1,150,tanh
42,41,2139,0.1,150,relu
29,39,1995,0.1,150,tanh
43,43,2310,0.1,150,relu
30,41,2169,0.1,150,tanh
44,40,2075,0.1,150,relu
31,41,2137,0.1,150,tanh
45,41,2138,0.1,150,relu
32,36,1603,0.1,150,tanh
33,36,1638,0.1,150,tanh
46,39,1960,0.1,150,relu
34,42,2225,0.1,150,tanh
47,43,2307,0.1,150,relu
35,40,2021,0.1,150,tanh
48,47,2732,0.1,150,relu
36,39,1958,0.1,149,tanh
49,47,2791,0.1,150,relu
37,39,1987,0.1,150,tanh
38,39,1956,0.1,150,tanh
50,47,2790,0.1,150,relu
39,35,1594,0.1,150,tanh
40,34,1464,0.1,150,tanh
41,35,1573,0.1,150,tanh
42,35,1596,0.1,150,tanh
43,40,2042,0.1,150,tanh
44,38,1824,0.1,149,tanh
45,40,2024,0.1,150,tanh
46,36,1674,0.1,151,tanh
47,42,2251,0.1,151,tanh
48,40,2072,0.1,151,tanh
49,38,1800,0.1,150,tanh
50,35,1500,0.1,151,tanh
1,22,220,0.1,150,tanh
1,21,107,0.1,150,tanh
2,24,429,0.1,150,tanh
1,25,522,0.1,150,tanh
2,22,222,0.1,150,tanh
3,36,1628,0.1,150,tanh
4,37,1766,0.1,150,tanh
5,38,1830,0.1,150,tanh
6,33,1353,0.1,150,tanh
7,35,1534,0.1,150,tanh
1,21,108,0.1,150,tanh
2,21,161,0.1,150,tanh
3,21,164,0.1,150,tanh
4,30,1014,0.1,150,tanh
5,26,666,0.1,150,tanh
1,23,331,0.1,150,tanh
1,21,111,0.1,150,tanh
2,21,108,0.1,150,tanh
3,24,423,0.1,150,tanh
4,21,164,0.1,150,tanh
5,21,109,0.1,150,tanh
6,21,111,0.1,150,tanh
7,22,217,0.1,150,tanh
8,22,275,0.1,150,tanh
9,22,273,0.1,150,tanh
10,43,2310,0.1,150,tanh
11,41,2172,0.1,150,tanh
12,45,2530,0.1,150,tanh
